customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
1,57,Male,Sweater,Outerwear,221.64,Florida,XL,White,Fall,3.3,0,Next Day,1,15,Credit Card,Weekly,51-65,7
2,39,Male,Sweater,Outerwear,215.65,Washington,S,Yellow,Winter,2.3,0,Express,0,6,Bank Transfer,Monthly,36-50,30
3,55,Male,Coat,Outerwear,277.36,California,M,Red,Winter,4.2,0,Free Shipping,0,4,Venmo,Fortnightly,51-65,14
4,27,Female,Coat,Outerwear,189.79,Illinois,XL,Black,Summer,3.2,0,Standard,0,9,Cash,Weekly,26-35,7
5,53,Male,Skirt,Clothing,179.61,Florida,M,Black,Spring,1.6,1,Express,1,10,Venmo,Monthly,51-65,30
6,35,Male,Blouse,Clothing,133.53,Illinois,S,Blue,Summer,4.3,0,Free Shipping,0,12,Credit Card,Fortnightly,26-35,14
7,18,Female,Sweater,Outerwear,31.08,Florida,XL,Red,Summer,3.8,1,Express,0,14,PayPal,Fortnightly,18-25,14
8,48,Male,Shirt,Clothing,146.36,California,S,Green,Summer,3.9,1,Standard,0,8,Cash,Annually,36-50,365
9,30,Male,Sunglasses,Accessories,221.58,Illinois,M,Blue,Spring,3.6,1,Next Day,0,6,Venmo,Fortnightly,26-35,14
10,43,Male,Hoodie,Outerwear,277.81,New York,M,White,Spring,2.1,0,Next Day,1,4,PayPal,Monthly,36-50,30
11,43,Female,Backpack,Accessories,20.25,New York,S,Green,Summer,2.6,0,Next Day,1,10,Bank Transfer,Weekly,36-50,7
12,38,Male,Sandals,Footwear,293.23,New York,L,Black,Summer,3.05,0,Next Day,1,15,Bank Transfer,Monthly,36-50,30
13,19,Male,Scarf,Accessories,56.37,Washington,S,White,Winter,4.6,0,Free Shipping,0,6,Bank Transfer,Weekly,18-25,7
14,44,Female,Backpack,Accessories,176.24,Florida,XL,Black,Spring,4.0,0,Express,1,5,Credit Card,Annually,36-50,365
15,58,Male,Sneakers,Footwear,112.27,Washington,L,Red,Fall,3.4,0,Express,0,13,Credit Card,Weekly,51-65,7
16,66,Male,Sandals,Footwear,249.78,New York,L,Yellow,Fall,3.5,1,Standard,0,1,Cash,Fortnightly,66+,14
17,35,Female,Pants,Clothing,232.6,New York,M,Blue,Spring,1.9,0,Next Day,1,5,PayPal,Weekly,26-35,7
18,45,Male,Coat,Outerwear,91.02,California,L,Blue,Fall,1.4,1,Express,0,6,Cash,Weekly,36-50,7
19,59,Male,Scarf,Accessories,91.46,Illinois,XL,White,Spring,3.0,1,Free Shipping,0,13,Credit Card,Annually,51-65,365
20,48,Male,Loafers,Footwear,285.52,Texas,L,Black,Spring,4.7,1,Free Shipping,0,13,Venmo,Monthly,36-50,30
21,52,Male,Hat,Accessories,268.11,California,S,Black,Summer,3.2,0,Free Shipping,0,11,Venmo,Monthly,51-65,30
22,41,Male,Scarf,Accessories,142.44,Illinois,L,Yellow,Spring,4.3,1,Next Day,0,6,Credit Card,Annually,36-50,365
23,22,Male,Belt,Accessories,299.48,Texas,M,Blue,Fall,1.4,1,Next Day,0,3,Cash,Weekly,18-25,7
24,33,Male,Skirt,Clothing,239.55,California,L,Blue,Winter,1.8,0,Next Day,0,11,Bank Transfer,Fortnightly,26-35,14
